SystemCash,CompanyCash,PlayersCash,Nu.Players,Nu.Cards,Operation,InvolvedP1,InvolvedP2,Avg.PlayersCash,Avg.PlayersCards
10083.0,10083,0.0,101,98,cash added to account,"3226146390502 ($4, #Cards:1)",,0.0,0.9702970297029703
10083.0,10083,0.0,101,98,played round,"11291512366757 ($4, #Cards:3)","8065365976255 ($0, #Cards:0)",0.0,0.9702970297029703
10083.0,10083,0.0,102,99,added new player,"4839219585753 ($4, #Cards:0)",,0.0,0.9705882352941176
10084.0,10084,0.0,102,99,cash added to account,"16130731952510 ($4, #Cards:1)",,0.0,0.9705882352941176
10084.0,10084,0.0,102,99,played round,"14517658757259 ($4, #Cards:0)","1613073195251 ($4, #Cards:1)",0.0,0.9705882352941176
10084.0,10084,0.0,102,99,played round,"12904585562008 ($4, #Cards:0)","9678439171506 ($0, #Cards:2)",0.0,0.9705882352941176
10084.0,10084,0.0,103,100,added new player,"6452292781004 ($4, #Cards:2)",,0.0,0.970873786407767
10084.0,10084,0.0,103,100,played round,"14517658757259 ($4, #Cards:1)","6452292781004 ($4, #Cards:0)",0.0,0.970873786407767
10084.0,10084,0.0,103,99,sell card ($0) & buy card,"4839219585753 ($4, #Cards:0)",,0.0,0.9611650485436893
10084.0,10084,0.0,103,99,played round,"8065365976255 ($4, #Cards:2)","6452292781004 ($4, #Cards:0)",0.0,0.9611650485436893
10084.0,10084,0.0,103,99,played round,"6452292781004 ($4, #Cards:0)","6452292781308 ($0, #Cards:1)",0.0,0.9611650485436893
10085.0,10085,0.0,103,99,cash added to account,"9678439171506 ($4, #Cards:1)",,0.0,0.9611650485436893
10086.0,10086,0.0,103,99,cash added to account,"8065365976255 ($4, #Cards:1)",,0.0,0.9611650485436893
10087.0,10087,0.0,103,99,cash added to account,"6452292781004 ($4, #Cards:1)",,0.0,0.9611650485436893
10088.0,10088,0.0,103,99,cash added to account,"11291512366757 ($4, #Cards:2)",,0.0,0.9611650485436893
10088.0,10088,0.0,103,98,sell card ($0) & buy card,"6452292781004 ($4, #Cards:0)",,0.0,0.9514563106796117
10088.0,10088,0.0,103,98,played round,"9678439171506 ($4, #Cards:1)","14517658757259 ($4, #Cards:4)",0.0,0.9514563106796117
10088.0,10088,0.0,103,98,played round,"6452292781004 ($4, #Cards:0)","6452292781244 ($4, #Cards:1)",0.0,0.9514563106796117
10088.0,10088,0.0,103,98,played round,"3226146390502 ($4, #Cards:2)","3226146390502 ($4, #Cards:0)",0.0,0.9514563106796117
10088.0,10088,0.0,103,98,played round,"9678439171506 ($4, #Cards:0)","4839219585753 ($4, #Cards:2)",0.0,0.9514563106796117
10088.0,10088,0.0,103,97,sell card ($0) & buy card,"8065365976255 ($4, #Cards:0)",,0.0,0.941747572815534
10089.0,10089,0.0,103,97,cash added to account,"9678439171506 ($4, #Cards:2)",,0.0,0.941747572815534
10089.0,10089,0.0,103,97,buy card,"8065365976255 ($4, #Cards:0)",,0.0,0.941747572815534
10090.0,10090,0.0,103,97,cash added to account,"16130731952510 ($4, #Cards:2)",,0.0,0.941747572815534
10090.0,10090,0.0,103,97,played round,"3226146390502 ($4, #Cards:0)","3226146390502 ($4, #Cards:2)",0.0,0.941747572815534
10090.0,10090,0.0,103,97,buy card,"9678439171506 ($4, #Cards:0)",,0.0,0.941747572815534
10090.0,10090,0.0,103,97,buy card,"1613073195251 ($4, #Cards:0)",,0.0,0.941747572815534
10090.0,10090,0.0,103,97,split card,"14517658757259 ($4, #Cards:0)",,0.0,0.941747572815534
10091.0,10091,0.0,103,97,cash added to account,"14517658757259 ($4, #Cards:0)",,0.0,0.941747572815534
10091.0,10091,0.0,104,98,added new player,"6452292781004 ($4, #Cards:0)",,0.0,0.9423076923076923
10091.0,10091,0.0,104,98,played round,"9678439171506 ($4, #Cards:0)","12904585562008 ($0, #Cards:1)",0.0,0.9423076923076923
10092.0,10092,0.0,104,98,cash added to account,"8065365976255 ($4, #Cards:0)",,0.0,0.9423076923076923
10092.0,10092,0.0,104,98,played round,"4839219585753 ($4, #Cards:0)","4839219585753 ($4, #Cards:0)",0.0,0.9423076923076923
10093.0,10093,0.0,104,98,cash added to account,"12904585562616 ($4, #Cards:1)",,0.0,0.9423076923076923
10094.0,10094,0.0,104,98,cash added to account,"12904585562008 ($4, #Cards:1)",,0.0,0.9423076923076923
10094.0,10094,0.0,104,98,played round,"11291512366757 ($4, #Cards:0)","11291512366757 ($4, #Cards:2)",0.0,0.9423076923076923
10094.0,10094,0.0,104,97,sell card ($0) & buy card,"12904585562616 ($4, #Cards:0)",,0.0,0.9326923076923077
10094.0,10094,0.0,104,97,played round,"16130731952510 ($4, #Cards:0)","3226146390502 ($4, #Cards:3)",0.0,0.9326923076923077
10094.0,10094,0.0,104,97,played round,"12904585562008 ($19, #Cards:0)","9678439171506 ($4, #Cards:2)",0.0,0.9326923076923077
10094.0,10094,0.0,104,98,split card,"11291512366757 ($4, #Cards:3)",,0.0,0.9423076923076923
10094.0,10094,0.0,104,98,played round,"3226146390502 ($4, #Cards:0)","16130731952510 ($4, #Cards:1)",0.0,0.9423076923076923
10094.0,10094,0.0,104,98,played round,"11291512366757 ($15, #Cards:1)","11291512366757 ($4, #Cards:3)",0.0,0.9423076923076923
10095.0,10095,0.0,104,98,cash added to account,"6452292781004 ($4, #Cards:1)",,0.0,0.9423076923076923
10096.0,10096,0.0,104,98,cash added to account,"6452292781004 ($4, #Cards:1)",,0.0,0.9423076923076923
10096.0,10096,0.0,104,98,played round,"14517658757259 ($4, #Cards:5)","9678439171506 ($4, #Cards:1)",0.0,0.9423076923076923
10096.0,10096,0.0,104,98,played round,"3226146390502 ($4, #Cards:0)","4839219585753 ($4, #Cards:0)",0.0,0.9423076923076923
10097.0,10097,0.0,104,98,cash added to account,"9678439171506 ($4, #Cards:2)",,0.0,0.9423076923076923
10097.0,10097,0.0,104,98,played round,"8065365976255 ($4, #Cards:2)","3226146390502 ($0, #Cards:0)",0.0,0.9423076923076923
10097.0,10097,0.0,104,98,played round,"9678439171506 ($4, #Cards:1)","4839219585753 ($4, #Cards:0)",0.0,0.9423076923076923
10097.0,10097,0.0,104,98,played round,"3226146390502 ($4, #Cards:0)","11291512366757 ($15, #Cards:1)",0.0,0.9423076923076923
10108.0,10099,9.0,104,99,buy card,"12904585562008 ($18, #Cards:1)",,0.09090909090909091,0.9519230769230769
10108.0,10099,9.0,104,100,split card,"16130731952510 ($4, #Cards:3)",,0.09,0.9615384615384616
10110.0,10101,9.0,104,100,cash added to account,"12904585562008 ($11, #Cards:0)",,0.09,0.9615384615384616
10111.0,10102,9.0,104,100,cash added to account,"11291512366757 ($4, #Cards:1)",,0.09,0.9615384615384616
10111.0,10102,9.0,104,100,played round,"6452292781244 ($4, #Cards:1)","3226146390502 ($4, #Cards:0)",0.09,0.9615384615384616
10111.0,10102,9.0,104,100,played round,"16130731952510 ($4, #Cards:0)","6452292781004 ($4, #Cards:0)",0.09,0.9615384615384616
10111.0,10102,9.0,104,100,played round,"9678439171506 ($4, #Cards:0)","3226146390502 ($0, #Cards:0)",0.09,0.9615384615384616
10111.0,10102,9.0,104,100,played round,"9678439171506 ($4, #Cards:2)","8065365976255 ($4, #Cards:1)",0.09,0.9615384615384616
10112.0,10103,9.0,104,100,cash added to account,"1613073195251 ($4, #Cards:2)",,0.09,0.9615384615384616
10112.0,10103,9.0,104,100,played round,"1613073195251 ($4, #Cards:0)","6452292781004 ($4, #Cards:0)",0.09,0.9615384615384616
10112.0,10103,9.0,104,100,buy card,"3226146390502 ($4, #Cards:0)",,0.09,0.9615384615384616
10112.0,10103,9.0,104,100,played round,"11291512366757 ($4, #Cards:0)","6452292781004 ($4, #Cards:1)",0.09,0.9615384615384616
10113.0,10104,9.0,104,100,cash added to account,"4839219585753 ($4, #Cards:1)",,0.09,0.9615384615384616
10114.0,10105,9.0,104,100,cash added to account,"3226146390502 ($4, #Cards:1)",,0.09,0.9615384615384616
10114.0,10105,9.0,104,100,played round,"6452292781004 ($4, #Cards:0)","4839219585753 ($4, #Cards:0)",0.09,0.9615384615384616
10114.0,10105,9.0,104,100,played round,"12904585562008 ($11, #Cards:0)","12904585562008 ($4, #Cards:0)",0.09,0.9615384615384616
